anio;periodo;mes;area;ciudad;tasa_participacion_global;tasa_participacion_bruta;tasa_desempleo;empleo_total;empleo_formal;empleo_informal;empleo_adecuado;subempleo;no_remunerado;otro_no_pleno;brecha_adecuado_HM;brecha_salarial_HM;NiNi;desempleo_juvenil;trabajo_infantil;empleo_manufactura;tasa_asistencia_clases;pobreza_ingresos;pobreza_extrema_ingresos
2011;3;Marzo;1;180150;65.2382;50.9313;3.5444;96.4556;75.7649;21.1796;57.0074;6.4987;8.9631;23.1199;29.5607;27.2436;5.7119;6.6618;1.7186;21.3602;86.8261;9.9811;1.3415
2011;6;Junio;1;010150;64.4426;49.617;3.6305;96.3695;74.7323;20.4816;58.0568;7.6251;7.5046;22.6272;29.6208;26.0389;7.6006;7.4196;2.0581;17.9231;82.7566;11.7539;2.9946
2011;6;Junio;1;070150;63.4238;47.0919;6.8636;93.1364;62.4129;33.9443;54.4785;9.4199;4.7043;23.8399;28.2679;20.6963;15.7705;14.7223;0.5958;10.1034;77.6506;12.4854;3.4433
2011;6;Junio;1;090150;66.2963;48.0992;9.6329;90.3671;59.3696;35.1411;52.0351;13.0316;3.1521;21.4615;31.5594;29.1534;19.3193;19.1522;0.8813;15.5682;76.4027;15.5942;3.3315
2011;6;Junio;1;170150;59.4968;47.6226;3.8097;96.1903;76.4644;15.3922;64.4487;6.0553;4.1397;15.794;14.8832;33.3796;9.7878;5.4154;2.2814;14.6561;83.4474;9.0149;2.8561
2011;6;Junio;1;180150;65.7644;50.6012;3.8859;96.1141;78.4089;18.0022;57.8745;7.7431;10.7623;19.0263;36.3353;34.4975;8.4905;10.525;4.3299;18.9799;84.0097;12.8345;2.7877
2011;6;Junio;2;070150;61.2343;45.0444;2.2224;97.7776;60.9692;12.939;46.6015;22.901;1.899;26.3761;32.9562;-10.2795;20.4359;2.8672;0.0;1.139;73.223;14.8708;5.0093
2011;6;Junio;2;090150;55.0;32.8358;4.5455;95.4545;66.6667;19.0476;63.6364;0.0;0.0;31.8182;25.0;23.3543;38.4615;0.0;0.0;0.0;67.7419;17.7419;0.0
2011;6;Junio;2;170150;77.7778;42.0;14.2857;85.7143;16.6667;66.6667;23.8095;33.3333;0.0;28.5714;39.3939;30.425;0.0;33.3333;5.8824;5.5556;80.0;54.0;38.0
2011;6;Junio;2;180150;65.7111;54.2134;4.2242;95.7758;37.6335;40.7898;36.1956;8.2965;14.4809;36.8029;17.0566;-37.8648;0.0;14.8183;0.0;27.7169;86.1177;26.3284;15.6189
2011;9;Septiembre;1;010150;62.4476;48.023;4.141;95.859;77.2478;17.6365;59.7852;6.8316;5.713;23.2197;25.3042;27.7688;9.2566;9.3071;0.6119;16.8991;83.9211;7.9891;1.9651
2011;9;Septiembre;1;070150;66.81;50.1172;4.9032;95.0968;64.5905;31.4364;52.0983;11.2279;4.299;27.0038;37.5141;23.235;14.2749;10.279;0.9515;11.3934;78.1614;11.7827;2.0363
2011;9;Septiembre;1;090150;68.9303;50.2945;5.7508;94.2492;59.8955;35.643;54.039;12.4189;3.2992;23.8472;37.2674;30.1281;15.1847;11.6927;0.866;13.6408;76.9056;10.7853;2.4899
2011;9;Septiembre;1;170150;59.8139;46.792;4.2089;95.7911;72.4363;20.8836;67.3735;3.2569;5.1563;17.656;21.4223;18.4101;9.4908;6.9158;1.376;14.9925;82.0845;9.5233;3.0268
2011;9;Septiembre;1;180150;65.456;50.3868;4.7395;95.2605;79.7832;15.8641;57.8889;6.2814;11.2033;19.5659;31.9305;27.719;11.4315;11.1489;3.0816;19.7878;81.3472;8.9298;2.4575
2011;12;Diciembre;1;010150;64.1749;49.0023;3.9074;96.0926;76.9118;19.941;65.7415;5.8334;5.9309;18.163;30.1376;33.0589;7.5464;8.4845;2.1537;19.4347;81.1779;5.1874;1.5916
2011;12;Diciembre;1;070150;67.0486;49.7451;4.5864;95.4136;59.429;36.5007;56.8459;8.269;3.8126;25.8942;35.4722;19.8286;11.8783;10.3973;1.9983;10.4682;76.8677;12.0189;2.4714
2011;12;Diciembre;1;090150;69.2006;51.2552;5.9296;94.0704;60.6791;36.0017;57.0498;9.5046;5.9485;20.5084;34.0816;34.2475;14.7093;12.721;0.3553;13.233;78.4328;9.1071;1.8619
2011;12;Diciembre;1;170150;60.6995;46.2205;4.3285;95.6715;71.1023;23.9089;63.6026;4.6697;4.4877;21.3936;35.0463;29.6719;15.0947;8.8637;0.9891;16.6409;77.7702;9.1343;2.0703
2011;12;Diciembre;1;180150;68.2474;51.436;2.3303;97.6697;78.1182;17.8435;61.8858;6.0806;9.4922;19.3233;24.8469;19.4698;10.3917;4.964;3.4082;21.597;81.5653;9.7824;2.4246
2011;12;Diciembre;2;070150;65.898;47.37;2.1354;97.8646;52.1006;25.9183;38.0441;17.4073;7.5399;34.8733;71.4364;38.7923;19.3294;0.0;8.0713;1.9623;66.0103;29.4728;10.5688
