p_año;p_ciudad;provincia;canton;parroquia;tasa_participacion_global;tasa_participacion_bruta;tasa_desempleo;empleo_total;empleo_formal;empleo_informal;empleo_adecuado;subempleo;no_remunerado;otro_no_pleno;brecha_adecuado_HM;brecha_salarial_HM;NiNi;desempleo_juvenil;trabajo_infantil;empleo_manufactura;tasa_asistencia_clases;pobreza_ingresos;pobreza_extrema_ingresos;pobreza_multidimensional;pobreza_extrema_multidimensional;necesidades_basicas_insatisfechas
2015;180150;TUNGURAHUA;AMBATO;AMBATO;67,98575;50,361025;4,839275;95,160725;73,073425;21,832475;55,708;11,814725;7,201025;20,269775;26,976625;27,2504;13,09135;10,3088;1,5637;21,609775;82,2015;9,709075;2,1229;9,169925;1,025475;9,6915
2016;10150;AZUAY;CUENCA;CUENCA;66,15345;49,33565;3,68265;96,31735;68,658425;24,92595;55,21665;10,962925;6,903025;23,21815;24,41635;21,86985;14,26425;7,333725;2,048125;19,31455;78,090125;8,917525;2,424775;13,9194;2,2319;8,3225
2016;70150;EL ORO;MACHALA;MACHALA;64,35965;46,410275;4,1874;95,8126;59,866375;29,712325;50,5385;14,0944;4,99635;26,183325;30,966375;17,648325;20,2921;8,3494;1,4186;7,3238;75,68685;12,601175;2,2648;23,9454;6,750525;24,963775
2016;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;66,559475;47,45255;6,180825;93,819175;55,5845;38,526775;51,831875;18,4956;4,1971;18,8827;30,622675;25,3886;20,53715;13,3645;0,902375;14,838275;75,5437;9,84725;1,6934;21,0776;3,1944;24,3853
2016;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;66,147575;48,930975;8,18455;91,81545;72,531475;18,970575;61,146625;9,93905;3,4974;16,391225;19,6878;21,7527;17,0666;15,29405;0,4211;12,5277;80,196175;8,900825;2,86645;6,248025;0,5125;6,48185
2016;180150;TUNGURAHUA;AMBATO;AMBATO;70,286725;52,143;6,53695;93,46305;73,301025;22,212875;49,09715;16,4312;7,1768;20,160125;27,296425;25,693775;13,883125;13,7442;1,673375;20,24175;81,659325;11,25295;3,864675;9,245275;1,459525;9,327975
2017;10150;AZUAY;CUENCA;CUENCA;65,487375;48,35555;4,477575;95,522425;68,676525;24,645825;57,6164;11,0127;7,40905;19,465625;27,628325;21,48855;13,359825;7,561375;0,99205;20,4716;80,169725;6,876575;1,89945;11,8204;1,5394;8,446575
2017;70150;EL ORO;MACHALA;MACHALA;65,794525;47,652675;4,4525;95,5475;58,6018;31,626125;47,334575;16,944225;5,4516;25,8066;35,0802;24,05565;18,750025;9,06355;1,740725;8,503525;76,65445;14,118575;2,825175;27,202325;8,3405;26,27525
2017;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;66,922325;48,50165;4,828225;95,171775;52,444725;41,4767;49,1217;22,550675;3,98405;18,9767;33,64105;24,09415;20,960525;10,497425;1,30585;14,7903;74,8969;10,5419;1,87415;22,004725;3,4305;24,763875
2017;170150;PICHINCHA;DISTRITO METROPOLITANO DE QUITO;QUITO;63,685475;47,429275;8,534875;91,465125;71,45035;21,18115;62,156175;11,649225;3,0608;14,17725;19,79785;18,791425;16,767275;17,5609;0,259775;12,890175;81,065375;7,757225;2,0103;6,346575;0,285775;6,72
2017;180150;TUNGURAHUA;AMBATO;AMBATO;68,855375;51,232275;4,6896;95,3104;73,940025;22,82165;49,625725;18,360225;8,01665;18,995625;28,738;20,39045;12,68265;9,93715;1,910575;19,675975;83,18935;10,981275;3,359725;10,7724;1,450725;9,2076
2018;10150;AZUAY;CUENCA;CUENCA;64,747275;48,19505;4,9247;95,0753;72,793025;20,758275;62,2665;9,1757;5,621975;18,0111;25,38085;24,446975;13,006325;10,128375;0,73015;16,298725;83,7823;4,21215;0,844625;7,344975;0,5996;6,283225
